name,position,team,total_points,was_home,GW,strength,enemy_strength_ovr,enemy_attack_ovr,enemy_defence_ovr,bps_last5_mean,clean_sheets_last5_mean,clearances_blocks_interceptions_last5_mean,creativity_last5_mean,defensive_contribution_last5_mean,expected_goal_involvements_last5_mean,expected_goals_conceded_last5_mean,goals_conceded_last5_mean,goals_scored_last5_mean,ict_index_last5_mean,influence_last5_mean,recoveries_last5_mean,tackles_last5_mean,threat_last5_mean,yellow_cards_last5_mean,minutes_last5_mean
Aaron Hickey,0,Brentford,8,1,13,3,1055,1010,1100,8.0,0.0,2.33,1.73,3.33,0.09,0.74,1.0,0.0,1.77,6.2,4.33,1.0,9.67,0.0,77.67
Aaron Hickey,0,Brentford,6,1,16,3,1095,1080,1110,10.25,0.25,3.75,1.88,5.0,0.13,0.59,0.75,0.0,1.95,8.75,4.25,1.25,8.75,0.0,76.5
Aaron Hickey,0,Brentford,2,0,20,3,1130,1130,1130,12.8,0.4,3.6,1.88,4.6,0.1,0.62,0.6,0.0,1.68,7.72,4.4,1.0,7.0,0.0,73.2
Aaron Wan-Bissaka,0,West Ham,1,0,9,3,1145,1100,1190,-0.67,0.0,4.33,15.3,4.67,0.05,2.01,3.33,0.0,3.3,14.0,2.67,0.33,3.33,0.0,86.0
Aaron Wan-Bissaka,0,West Ham,7,1,10,3,1160,1170,1150,0.5,0.0,4.25,15.9,4.75,0.05,1.88,3.0,0.0,3.22,13.6,2.25,0.5,2.5,0.0,84.0
Aaron Wan-Bissaka,0,West Ham,3,1,11,3,1055,1010,1100,3.8,0.0,5.4,13.74,6.0,0.05,1.61,2.6,0.0,3.1,15.08,2.4,0.6,2.0,0.0,85.2
Aaron Wan-Bissaka,0,West Ham,2,0,12,3,1220,1240,1200,2.6,0.0,6.8,9.2,7.6,0.03,1.68,2.4,0.0,2.48,14.64,1.6,0.8,0.8,0.0,85.2
Aaron Wan-Bissaka,0,West Ham,1,1,13,4,1230,1170,1290,4.2,0.0,7.8,8.18,8.8,0.04,1.94,1.8,0.0,2.32,14.08,1.8,1.0,0.8,0.2,85.2
Aaron Wan-Bissaka,0,West Ham,3,0,14,3,1205,1150,1260,6.0,0.0,7.6,9.56,8.8,0.04,1.67,1.8,0.0,2.56,15.16,2.4,1.2,0.8,0.2,87.6
Aaron Wan-Bissaka,0,West Ham,4,0,15,3,1160,1110,1210,9.6,0.0,8.6,10.6,10.2,0.04,1.69,1.6,0.0,3.14,19.8,3.0,1.6,0.8,0.4,90.0
Aaron Wan-Bissaka,0,West Ham,1,1,16,3,1145,1150,1140,9.0,0.0,8.4,18.82,10.0,0.05,1.96,1.6,0.0,4.12,21.0,2.8,1.6,1.2,0.4,90.0
Aaron Wan-Bissaka,0,West Ham,4,0,22,3,1175,1150,1200,7.2,0.0,7.2,19.02,8.6,0.05,1.88,1.8,0.0,3.94,19.44,2.8,1.4,0.8,0.4,90.0
Aaron Wan-Bissaka,0,West Ham,2,1,23,3,1100,1100,1100,9.8,0.0,7.2,23.58,9.0,0.06,1.36,1.6,0.0,4.8,23.48,2.4,1.8,0.8,0.2,90.0
Aaron Wan-Bissaka,0,West Ham,7,0,24,3,1190,1160,1220,11.0,0.0,6.8,24.42,8.6,0.06,1.24,1.4,0.0,4.86,23.64,2.6,1.8,0.4,0.2,90.0
Abdukodir Khusanov,0,Man City,2,1,21,3,1150,1090,1210,13.0,0.33,5.0,1.73,7.0,0.01,1.02,0.33,0.0,1.47,12.93,3.0,2.0,0.0,0.33,73.0
Abdukodir Khusanov,0,Man City,3,0,22,3,1205,1150,1260,13.75,0.25,4.5,2.02,6.5,0.01,1.05,0.5,0.0,1.58,13.65,4.0,2.0,0.0,0.25,77.25
Abdukodir Khusanov,0,Man City,6,1,23,3,1070,1050,1090,14.0,0.2,6.2,2.96,8.2,0.01,1.3,0.8,0.0,1.92,16.2,3.8,2.0,0.0,0.2,79.8
Abdukodir Khusanov,0,Man City,0,0,24,3,1175,1150,1200,17.8,0.4,6.6,4.86,8.2,0.01,1.18,0.6,0.0,2.14,16.52,4.0,1.6,0.0,0.0,81.0
Adam Smith,0,Bournemouth,1,0,11,3,1185,1170,1200,9.33,0.33,3.33,4.67,3.67,0.03,0.85,1.0,0.0,1.2,5.93,1.0,0.33,1.33,0.0,68.0
Adam Smith,0,Bournemouth,1,0,13,3,1145,1120,1170,7.75,0.25,2.5,3.5,2.75,0.02,0.64,0.75,0.0,0.9,4.45,0.75,0.25,1.0,0.0,53.25
Adam Smith,0,Bournemouth,6,1,15,3,1180,1140,1220,6.0,0.2,2.4,3.3,2.8,0.02,0.75,1.2,0.0,0.92,4.72,0.6,0.4,1.2,0.0,58.4
Adam Smith,0,Bournemouth,2,0,16,3,1205,1150,1260,10.2,0.4,1.6,1.28,2.2,0.0,0.52,0.6,0.0,0.58,3.84,1.0,0.6,0.8,0.0,58.6
Adam Smith,0,Bournemouth,0,0,18,3,1175,1110,1240,4.4,0.2,2.0,2.82,2.6,0.0,1.08,1.4,0.0,1.14,7.16,1.2,0.6,1.6,0.2,58.6
Adam Smith,0,Bournemouth,1,1,23,4,1230,1170,1290,3.2,0.2,2.4,2.8,3.0,0.0,1.39,1.8,0.0,1.28,7.68,1.6,0.6,2.4,0.2,62.6
Adam Smith,0,Bournemouth,6,0,24,3,1085,1050,1120,3.0,0.2,3.6,2.98,4.2,0.0,1.57,2.2,0.0,1.52,9.92,2.4,0.6,2.4,0.2,78.8
Adam Wharton,1,Crystal Palace,7,0,5,3,1075,1050,1100,13.67,0.33,1.33,16.13,6.67,0.05,1.0,0.33,0.0,2.47,8.67,5.0,0.33,0.0,0.0,75.33
Adam Wharton,1,Crystal Palace,3,1,6,4,1230,1170,1290,17.75,0.25,1.5,22.85,6.25,0.18,0.88,0.5,0.0,3.25,9.3,4.25,0.5,0.5,0.0,75.0
Adam Wharton,1,Crystal Palace,3,0,7,3,1130,1130,1130,18.4,0.4,1.4,27.94,6.2,0.24,0.91,0.4,0.0,3.92,10.04,4.2,0.6,1.4,0.0,72.2
Adam Wharton,1,Crystal Palace,2,1,8,3,1150,1100,1200,18.4,0.2,1.8,29.24,7.4,0.28,1.0,0.8,0.0,4.02,9.44,4.4,1.2,1.8,0.2,72.2
Adam Wharton,1,Crystal Palace,2,0,9,5,1375,1400,1350,16.8,0.2,1.6,31.7,7.2,0.35,1.27,1.2,0.0,4.46,10.52,4.2,1.4,2.6,0.2,74.0
Adam Wharton,1,Crystal Palace,3,1,11,3,1150,1090,1210,17.4,0.2,2.4,34.02,8.0,0.36,1.34,1.4,0.0,4.9,12.4,3.6,2.0,2.8,0.2,81.0
Adam Wharton,1,Crystal Palace,6,0,12,3,1085,1050,1120,13.0,0.4,2.4,26.68,8.0,0.27,1.3,1.2,0.0,4.04,11.32,3.6,2.0,2.6,0.2,79.2
Adam Wharton,1,Crystal Palace,4,1,13,3,1135,1100,1170,14.2,0.4,3.0,21.94,9.0,0.21,1.45,1.2,0.0,3.88,14.96,3.8,2.2,2.0,0.2,85.0
Adam Wharton,1,Crystal Palace,3,0,14,3,1095,1090,1100,15.2,0.4,2.8,19.34,9.2,0.19,1.26,1.2,0.0,4.02,15.84,4.2,2.2,5.0,0.0,82.4
Adam Wharton,1,Crystal Palace,9,0,15,3,1130,1140,1120,15.6,0.6,3.0,14.0,9.6,0.15,0.92,0.6,0.0,3.24,14.08,4.6,2.0,4.2,0.0,79.4
Adam Wharton,1,Crystal Palace,4,1,16,4,1250,1210,1290,19.8,0.6,3.2,15.04,10.6,0.19,0.86,0.6,0.0,3.78,18.12,5.6,1.8,4.4,0.0,79.4
Adam Wharton,1,Crystal Palace,3,0,17,3,1145,1100,1190,22.2,0.4,3.2,16.86,12.8,0.26,1.04,1.2,0.0,4.24,19.92,6.8,2.8,5.4,0.0,84.4
Adam Wharton,1,Crystal Palace,2,1,18,3,1165,1130,1200,19.4,0.2,3.0,14.16,13.0,0.31,1.21,2.0,0.0,4.16,18.0,6.8,3.2,9.2,0.2,84.4
Adam Wharton,1,Crystal Palace,2,1,19,3,1090,1080,1100,19.0,0.2,2.6,16.96,12.4,0.39,1.16,1.8,0.0,4.64,17.64,7.0,2.8,11.6,0.2,87.0
Adam Wharton,1,Crystal Palace,4,0,20,3,1220,1180,1260,19.2,0.0,2.8,16.3,12.2,0.36,1.47,2.0,0.0,4.76,18.68,6.4,3.0,12.4,0.2,90.0
Adam Wharton,1,Crystal Palace,3,1,21,3,1145,1150,1140,15.8,0.0,2.2,18.56,12.6,0.4,1.61,2.2,0.0,4.74,16.32,6.4,4.0,12.4,0.2,89.2
Adam Wharton,1,Crystal Palace,1,0,22,3,1145,1120,1170,15.8,0.2,2.2,23.3,11.4,0.44,1.72,1.6,0.0,5.42,18.08,5.4,3.8,12.6,0.2,89.2
Adam Wharton,1,Crystal Palace,-1,1,23,3,1180,1140,1220,14.0,0.2,1.8,21.46,11.0,0.35,1.53,1.2,0.0,4.46,14.6,5.4,3.8,8.4,0.2,89.2
Adrien Truffert,0,Bournemouth,2,1,4,3,1150,1090,1210,17.0,0.67,4.0,19.13,6.33,0.09,0.95,1.33,0.0,4.0,18.67,2.67,2.33,2.33,0.0,90.0
Adrien Truffert,0,Bournemouth,9,1,5,3,1160,1170,1150,13.25,0.5,3.75,21.78,5.75,0.1,0.87,1.25,0.0,4.12,17.85,2.75,2.0,1.75,0.0,90.0
Adrien Truffert,0,Bournemouth,3,0,6,3,1145,1100,1190,16.4,0.6,4.0,18.4,5.6,0.08,0.72,1.0,0.0,3.66,16.56,4.2,1.6,1.8,0.0,90.0
Adrien Truffert,0,Bournemouth,5,1,7,3,1090,1080,1100,19.6,0.6,4.8,15.58,7.0,0.06,0.65,0.6,0.0,3.64,18.72,4.8,2.2,2.2,0.0,90.0
Adrien Truffert,0,Bournemouth,1,0,8,3,1205,1150,1260,18.8,0.4,4.8,15.84,7.2,0.06,0.73,0.8,0.0,3.92,21.68,5.2,2.4,1.8,0.0,90.0
Adrien Truffert,0,Bournemouth,10,1,9,3,1100,1100,1100,13.8,0.2,4.8,12.78,6.2,0.04,1.58,1.4,0.0,3.48,20.0,5.6,1.4,2.0,0.0,90.0
Adrien Truffert,0,Bournemouth,2,0,10,4,1305,1230,1380,20.0,0.4,5.8,8.9,7.6,0.04,1.53,1.2,0.0,3.22,20.68,6.6,1.8,2.6,0.0,90.0
Adrien Truffert,0,Bournemouth,0,0,11,3,1185,1170,1200,15.2,0.2,6.0,8.68,8.6,0.05,1.95,1.8,0.0,3.5,22.8,5.8,2.6,3.4,0.2,90.0
Adrien Truffert,0,Bournemouth,0,1,12,3,1075,1050,1100,12.6,0.2,5.2,11.92,7.2,0.05,1.75,1.8,0.0,3.52,19.2,5.2,2.0,4.0,0.4,84.4
Adrien Truffert,0,Bournemouth,1,0,13,3,1145,1120,1170,10.2,0.2,5.0,21.26,7.0,0.11,1.7,2.0,0.0,4.52,19.48,5.6,2.0,4.4,0.6,84.4
Adrien Truffert,0,Bournemouth,4,1,14,3,1100,1110,1090,11.2,0.2,5.0,23.1,7.6,0.12,1.07,2.0,0.0,5.26,21.32,7.2,2.6,8.2,0.6,84.4
Adrien Truffert,0,Bournemouth,6,1,15,3,1180,1140,1220,8.0,0.0,5.4,22.58,8.0,0.12,1.29,2.2,0.0,5.58,24.04,6.6,2.6,9.2,0.6,84.4
Adrien Truffert,0,Bournemouth,0,0,16,3,1205,1150,1260,13.2,0.2,5.4,26.28,7.6,0.12,1.03,1.6,0.0,5.88,23.56,6.4,2.2,9.0,0.4,84.4
Adrien Truffert,0,Bournemouth,5,1,17,3,1055,1010,1100,11.6,0.2,5.8,22.5,8.2,0.11,1.52,2.0,0.0,5.52,23.92,6.0,2.4,8.8,0.2,90.0
Adrien Truffert,0,Bournemouth,1,0,18,3,1175,1110,1240,14.0,0.2,7.2,10.58,10.8,0.05,1.46,1.8,0.0,4.14,23.28,4.8,3.6,7.6,0.0,90.0
Adrien Truffert,0,Bournemouth,3,0,19,3,1190,1160,1220,12.8,0.2,6.6,10.42,10.0,0.04,1.65,1.8,0.0,3.44,20.64,4.0,3.4,3.4,0.0,87.2
Adrien Truffert,0,Bournemouth,1,1,20,5,1300,1340,1260,12.2,0.2,6.8,10.14,10.2,0.05,1.82,2.0,0.0,3.38,20.72,3.8,3.4,3.0,0.0,87.2
Adrien Truffert,0,Bournemouth,1,1,21,3,1165,1130,1200,5.8,0.0,6.0,6.78,9.6,0.04,1.86,2.6,0.0,2.78,19.08,3.2,3.6,2.0,0.0,87.2
Adrien Truffert,0,Bournemouth,4,0,22,3,1160,1110,1210,7.2,0.0,5.6,6.82,9.6,0.04,1.46,2.2,0.0,2.84,20.44,4.2,4.0,1.2,0.0,87.2
Adrien Truffert,0,Bournemouth,3,1,23,4,1230,1170,1290,4.6,0.0,4.4,8.48,8.6,0.05,1.59,2.2,0.0,3.02,19.72,4.4,4.2,2.0,0.0,87.2
Adrien Truffert,0,Bournemouth,6,0,24,3,1085,1050,1120,6.4,0.0,5.6,6.32,10.0,0.05,1.33,2.0,0.0,3.1,22.2,3.6,4.4,2.4,0.0,90.0
Alejandro Garnacho Ferreyra,1,Chelsea,3,0,10,3,1175,1150,1200,11.33,0.0,0.67,3.73,3.0,0.12,1.03,0.67,0.33,3.93,11.67,1.67,0.67,24.0,0.0,58.67
Alejandro Garnacho Ferreyra,1,Chelsea,11,1,11,3,1070,1050,1090,13.5,0.25,0.5,8.52,3.75,0.24,0.79,0.5,0.25,4.62,11.6,2.25,1.0,26.25,0.0,60.25
Alejandro Garnacho Ferreyra,1,Chelsea,3,0,15,3,1220,1240,1200,19.0,0.4,0.4,15.98,3.4,0.5,0.67,0.4,0.2,6.28,18.68,2.0,1.0,28.2,0.0,66.2
Alejandro Garnacho Ferreyra,1,Chelsea,3,1,16,3,1100,1110,1090,19.0,0.6,0.4,19.34,3.6,0.55,0.64,0.2,0.2,6.66,18.84,2.4,0.8,28.6,0.0,66.6
Alejandro Garnacho Ferreyra,1,Chelsea,1,0,17,3,1220,1180,1260,16.0,0.8,0.6,19.54,3.8,0.67,0.62,0.2,0.2,6.92,18.4,2.6,0.6,32.8,0.0,70.4
