name,total_points,was_home,GW,strength,enemy_strength_ovr,enemy_attack_ovr,enemy_defence_ovr,bps_last5_mean,clean_sheets_last5_mean,clearances_blocks_interceptions_last5_mean,creativity_last5_mean,defensive_contribution_last5_mean,expected_goal_involvements_last5_mean,expected_goals_conceded_last5_mean,goals_conceded_last5_mean,goals_scored_last5_mean,ict_index_last5_mean,influence_last5_mean,recoveries_last5_mean,tackles_last5_mean,threat_last5_mean,yellow_cards_last5_mean
Aaron Hickey,8,1,13,3,1055,1010,1100,8.0,0.0,2.33,1.73,3.33,0.09,0.74,1.0,0.0,1.77,6.2,4.33,1.0,9.67,0.0
Aaron Hickey,6,1,16,3,1095,1080,1110,10.25,0.25,3.75,1.88,5.0,0.13,0.59,0.75,0.0,1.95,8.75,4.25,1.25,8.75,0.0
Aaron Hickey,2,0,20,3,1130,1130,1130,12.8,0.4,3.6,1.88,4.6,0.1,0.62,0.6,0.0,1.68,7.72,4.4,1.0,7.0,0.0
Aaron Wan-Bissaka,1,0,1,3,1145,1120,1170,13.75,0.5,4.25,1.9,5.5,0.12,0.52,0.5,0.0,1.98,8.9,4.25,1.25,8.75,0.0
Aaron Wan-Bissaka,0,1,2,3,1180,1140,1220,15.5,0.5,4.25,7.72,5.5,0.12,0.48,1.0,0.0,3.12,12.6,5.25,1.25,10.5,0.0
Aaron Wan-Bissaka,1,0,7,5,1375,1400,1350,10.25,0.5,4.5,12.18,5.25,0.1,1.07,2.0,0.0,2.97,13.7,4.25,0.75,3.5,0.0
Aaron Wan-Bissaka,1,0,9,3,1145,1100,1190,5.25,0.25,4.0,11.95,4.25,0.04,1.68,2.5,0.0,2.62,11.4,3.25,0.25,2.5,0.0
Aaron Wan-Bissaka,7,1,10,3,1160,1170,1150,0.5,0.0,4.25,15.9,4.75,0.05,1.88,3.0,0.0,3.22,13.6,2.25,0.5,2.5,0.0
Aaron Wan-Bissaka,3,1,11,3,1055,1010,1100,3.8,0.0,5.4,13.74,6.0,0.05,1.61,2.6,0.0,3.1,15.08,2.4,0.6,2.0,0.0
Aaron Wan-Bissaka,2,0,12,3,1220,1240,1200,2.6,0.0,6.8,9.2,7.6,0.03,1.68,2.4,0.0,2.48,14.64,1.6,0.8,0.8,0.0
Aaron Wan-Bissaka,1,1,13,4,1230,1170,1290,4.2,0.0,7.8,8.18,8.8,0.04,1.94,1.8,0.0,2.32,14.08,1.8,1.0,0.8,0.2
Aaron Wan-Bissaka,3,0,14,3,1205,1150,1260,6.0,0.0,7.6,9.56,8.8,0.04,1.67,1.8,0.0,2.56,15.16,2.4,1.2,0.8,0.2
Aaron Wan-Bissaka,4,0,15,3,1160,1110,1210,9.6,0.0,8.6,10.6,10.2,0.04,1.69,1.6,0.0,3.14,19.8,3.0,1.6,0.8,0.4
